,Text,Label
56,özelden arıyorsunuz niye konuşmuyorsunuz amk mal mısınız,kızgın
57,Biri şu uykumu getirsin küfür edeceğim,kızgın
58,Sen gerizekalının tekisin anlatsam da anlayamazsın ,kızgın
59,Bazı insanlara kuş beyinli dediğim zaman kuşlara hakaret ettiğimi düşünüyorum. ,kızgın
60,Allah'ım yediğimiz gole bak çıldıracağım yeter artık,kızgın
61,Kadına şiddet nasıl bir zavallılık nasıl bir cahilliktir gerizekalılar ,kızgın
62,Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye,kızgın
63,Oğuzhan ağır küfür edeceğim çok az kaldı,kızgın
64,O kadar mutsuz o kadar korkağım ki kendime çok kızıyorum ,kızgın
65,kuzenime ödev yaptırıyorum birazdan çıldıracağım sanırım,kızgın
66,Ya koysana şu tolgayı yeter artık çıldıracağım kafayı yiyorum,kızgın
67,İnsanın yaşam enerjisini bir anda alıp götüren şeyler beni sinir ediyor ,kızgın
68,Kendimden nefret etmek için bir sebep daha buldum üzgün olduğumda ne yapacağım belli olmuyor ,kızgın
69,Ya artık birisi beni anlasın ya birisi ya yeter artık çıldıracağım,kızgın
70,Yeter artık bir karadenizliyle evlendirip dağlara salın beni çıldıracağım yeter,kızgın
71,Durduk yere gözüm kanlandı çıldıracağım nazar değdirmeyin yeter,kızgın
72,Büyük küfür edeceğim zor tutuyorum kendimi,kızgın
73,Saat 9 dan beri su yok çıldıracağım,kızgın
74,Gizem yokken hiçbir şey yapasım gelmiyor ya çıldıracağım,kızgın
75,Telefonumun ekranı tuzla buz oldu anlık kalp krizleri sinir krizlerini atlattım artık onlaynım ,kızgın
76,Bak küfür edeceğim az kaldı mal beyinliler,kızgın
77,Bize bu haksızlığı yapanların cehennemde yanacağına hiç şüphem yok ,kızgın
78,Vurun daha ölmedim diye bağıracağım şimdi,kızgın
79,Abi niye bu kadar yavaş ve az ve tutkusuzuz çıldıracağım,kızgın
80,Çantamda en esneyen terliğimle dışarı çıkıp doğru durmayan kim varsa ağzına ağzına vurmak istiyorum.,kızgın
81,Hoca bitir artık şu özeti bitir daha fazla bekleyemiyorum çıldıracağım,kızgın
82,Bundan sonra iddaa da 3-5 lira kaybedip yattı diye sövenlere sövüyorum,kızgın
83,Şu gezme kelimesini alışveriş yapmak olarak algılayan kızlara bir hayli sövüyorum,kızgın
84,Yağmasın saçımın fönü bozuluyor diyenlerin cidden ağzına vurmak istiyorum.,kızgın
85,Biz bu trabzona nasıl yenildik düşündükçe sövüyorum sövdükçe sövüyorum yok böyle birşey arkadaş ya,kızgın
86,Ülke gerizekalı dolu e hal böyle olunca artık bütün zekasızlar beni buluyor diye isyanda edemez olduk.,kızgın
87,Ne çok gerizekalı insan var bu sitede hepsi o kötü atlara binip defolup gitse keşke,kızgın
88,Ne mal insanlar var şu dünyada,kızgın
89,"Kış mevsimi sevenleri kınıyorum, içerliyorum ve kış mevsimi sevenlere sövüyorum",kızgın
90,Kıza soru atıyorum yapamadım diye diyorki ne attın ona göre indiricem kızım mal mısın,kızgın
91,Çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik,kızgın
92,Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.,kızgın
93,Gerizekalı prim yaptığını anlamayacağımızı sanıyor,kızgın
94,Ben annemden boşuna mı yemek yapmayı öğrendim gerizekalı,kızgın
95,Sinirden delireceğim,kızgın
96,2 hafta olan devamsızlığımı sen nasıl 4 hafta girersin amk mal mısın ya,kızgın
97, ,kızgın
98,Mal mısın lan sinirimi bozuyorsun,kızgın
99,bütün gün gerizekalı bir edebiyat ödevi için uğraştığıma inanamıyorum ya nefret ediyorum şu dersten nefret,kızgın
100,Beni ıslatan araba sahibine sövüyorum :/ ,kızgın
101,Elektrikler yok delireceğim şarjım olmuş %10,kızgın
102,Bir bok olduğunda gelip hemen burdan laf sokacağınıza git de doğru düzgün söyle mal mısın,kızgın
103,"Telefonumun mikrofonu gene bozuldu, delireceğim... Kulaklık girişi de bozuk",kızgın
104,kim bu tweetine adını yazmayan gerizekalı gelsin alsın,kızgın
105,Beyin hücresini taneyle mi verdiler lan size bu kadar da olmaz lan nefret ediyorum sizden ,kızgın
106,görgüsüz insanları duvardan duvara vurmak istiyorum böyle nefret olamaz,kızgın
107,Lan iki yıldan fazla oldu her gün konuştuk nasıl gidiyorsun lan delireceğim taktik verseydin giderken,kızgın
108,Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ,kızgın
109,Sütyenim çok sıkıyor kafayı yiyeceğim şimdi,kızgın
110,Sabah kalktığımdan beri şunu arıyorum yok kafayı yiyeceğim heryeri alt üst ettim bir prize bakmamışım meğer ,kızgın
111,Evde on tane çocuk var kafayı yiyeceğim kafalarını duvara falan vuruyolar,kızgın
112,senin gibi bankanın da müşteri temsilcisinin de Allah belasını versin kudurdum sinirden bak,kızgın
113,Aynen kudurdum sinirden ama yazmam aramam sormam basıp git hadi,kızgın
114,Elektrikler gitti sıçıcam böyle işe resmen izlemiyim diye amk kudurdum sinirden ,kızgın
115,Şimdi burda bi küfür edeceğim 150 kişi takipten çıkacak o kadar doluyum,kızgın
116,Aşırı agresifim gelmeyin üstüme dedikce geliyorsunuz siz manyak mısınız,kızgın
117,Radyo dinlerken sinir küpü oldum,kızgın
118,Saçlarımızla değil de sinirlerimizle oynadığınız için ortalarda sinir küpü gibi geziyoruz,kızgın
119,Yemekteyiz inci bir patlıcanı kesemiyorsun yalandan sinir oldum,kızgın
120,Atom diye sokaklarda pervasızca bağırmak istiyorum şu anda ,kızgın
121,Öfkeliyim sana tüm yaptıklarına ve yapamadıklarına bu defa tamam diyorum bitti ama ben neden senin blanık fotoğrafını bile silemiyorum,kızgın
122,Hadiseye karşi bir öfkem var nedeni olmadan öfkelendiğim tek insan ya da 987654321. Falan emin değilim ama öfkeliyim,kızgın
123,Şu an içimden bağırmak geldi yeminle,kızgın
124,Ödemesini yapmayan müşterileri arayıp WHERE IS MY MONEY diye bağırmak istiyorum ,kızgın
125,Bu soğukta sümerparkta oturan çiftler gerizekalı yemin ederim,kızgın
126,Sen eşinin yanında bana niye bakıyorsun hadsiz diye bağırmak istemek,kızgın
127,Meclise bak esenler arka mahallesi gibi bizi yöneten kitleye bak yumruklar küfürler kavgalar yazıklar olsun hepinize ,kızgın
128,"İptal edin tüm ligleri bu nedir ya dün birlik diye bağıran ağızlardan beddualar, küfürler çocuğundan çıksın nedir ya liginiz de batsın ",kızgın
129,Satır satır orul orul küfürler yazmak istiyorum şu an buraya.,kızgın
130,"Kavgalar, gürültüler, sinir krizleri, geçirilen nöbetler, kırılan eşyalar, küfürler, hakaretler... . Saymakla bitmez.",kızgın
131,Aklıma geldiğinde küfürler ettiklerim napıyolar acaba yaşıyorlar mı,kızgın
132,Ziraat bankası senden nefret ediyorum eminim şekerbank senden daha güzel bir bankadır ,kızgın
133,Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum,kızgın
134,Sırf inat ve egonuz yüzünden bu küfürler ,kızgın
135,"Beyin bedava iken, gerizekalı olmak ciddi bir yetenek işidir... ",kızgın
136,Çok güzel küfürler biliyorum ama kadına yakışmıyor diyorlar.,kızgın
137,Aniden kötü hislerin bastırmasından nefret ederim ,kızgın
138,soruyorum sana adımı neden çaldın gerizekalı,kızgın
139,Sinirliyken çok yaratıcı küfürler edebiliyorum müthiş bir olay.,kızgın
140,Yumurtanın sperme gittiği nerde görülmüş gerizekalı ben mi yazıcam.,kızgın
141,Özür dilenince daha çok sinirleniyorum değiştirmiyor bir şeyi anlasanıza özür dilenecek şeyler yapmayın en basiti,kızgın
142,Yeter diye bağıracağım şimdi,kızgın
143,Abi benim mor montum nerde çıldıracağım ya,kızgın
144,Saçma sapan ağa dizileri mafya dizileri uyduruk polisiyeleri alın da turşusunu kurun Dizimizi harcadınız,kızgın
145,Dünya üzerinde nefes alan her şeye sinir oluyorum şu an hayvanlar hariç,kızgın
146,kendi kendime konuşurken başkası araya girince sinirleniyorum,kızgın
147,"Lütfen hayatımda ki herşey ve herkes net olsun, belirsizlikten nefret ediyorum. Düşünmekten kafayı yiyeceğim",kızgın
148,"Yemek yedikten sonra, kürdanı ağzına atıp saatlerce o kürdanla gezen tiplerden nefret ediyorum.",kızgın
149,Abi ısınamıyorum uyuyamıyorum camı açıp bağıracağım şimdi,kızgın
150,Saçma sapan şeylerle oyalanıyoruz. Hiçbir şey gerçek değil. Biz de,kızgın
151,Annelerin her şeyi yemek yeme düzensizliğine bağlamalarına sinir oluyorum.,kızgın
152,Matematikte bu Mutlak Değer konusu mu zor yoksa ben mi malım. çıldıracağım.,kızgın
153,Ya buraya atılan videonun bozuk olmaması için ne yapmak gerekiyor bilen biri söyleyebilir mi kafayı yiyeceğim,kızgın
154,Attığım mesaja geç cevap veren insanlardan nefret ediyorum.,kızgın
155,Mesela ben niye kızdığımı açıklamaya çalışırken daha çok sinirleniyorum.,kızgın
156,Benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp baksana sen neresindesin diye göstermek istiyorum.,kızgın
157,Bana kısa cevap vermeyin çok sinir oluyorum ya,kızgın
158,samimi olmadığım biri ne yapıyorsun dediğinde istemsiz bir sinirleniyorum sanane lan ne yapıyorum,kızgın
159,Banko şampiyon olacağımız turnuvada sakatlık ve yedeğimiz yok diye diskalifiye olduk sinirden kafayı yiyeceğim,kızgın
160,Uzun süredir mesaj atmıyorsun çocuk sinirleniyorum,kızgın
161,Odadaki yeni kız beni sinir ediyor aslında şu an sadece uyuyor ama sinir oluyorum,kızgın
162,Askerliğimi bir tür tecil ettiremedim kafayı yiyeceğim sonunda gidicem askere,kızgın
163,Okuldan ciddi anlamda nefret ediyorum eskiden arkadaş var en azından derdim şimdi onlar da yok,kızgın
164,kendime sinir oluyorum bu aralar hep en olmaması gereken gereken neyse ben gidiyorum onu yapıyorum aptalım çünkü,kızgın
165,nefret ettiğim kişi sayısının fazlalığı beni de korkutmaya başladı resmen her şeye sinirlenip herkese sinir oluyorum,kızgın
166,Ya şu sevgililerin birbirine şifre verme olayına sinir oluyorum madem güvenmiyorsun ne diye sevgili sıfatın da,kızgın
167,Şu bölümü şurdan itibaren kesseydi kanal keşke vallahi sinir oluyorum daralıyorum,kızgın
168,birşey söyleyeceğim diyip 10 saat sonra yazanlara sinir oluyorum,kızgın
169,Oy beni vurun vurun nedir çektiğim zulüm diye bağıracağım şimdi,kızgın
170,sevdiğim insanlar yanımda değil ya çok sinir oluyorum,kızgın
171,Sabaha kadar küfür edeceğim okumak istemeyen takipten çıksın,kızgın
172,"Verdiğim değere karşılık alamayınca değil, nankörlük edilince sinir oluyorum",kızgın
173,Hande'yi artık bi salın. Gerçekten çok feci sinirleniyorum. Küfür edeceğim etmiyorum. Beni sınamayın.,kızgın
174,En çok da bilim ile ilgili konuşulurken işin içine din sokmalarına sinir oluyorum,kızgın
175,Yolda yavaş yürüyen insanlara sinir oluyorum özellikle yolun ortasındalarsa,kızgın
176,Kardeşim kumandayı saklamış daha sonra çarşıya gitmişler 3 saattir çizgi filme bakıyoruz kafayı yiyeceğim,kızgın
177,"birine sinirlenip tartışırken gözlerim dolup, yüzüm kızarıyor diye karşı tarafa güçsüz göründüğümü düşünüp tekrar sinirleniyorum",kızgın
178,Sürekli bir şeyleri sorguluyorum kafayı yiyeceğim,kızgın
179,Sinirleniyorum ama neye sinirlendiğimi ben de bilmiyorum karadenizli olmak gerçekten çok zor,kızgın
180,Sinirlendim bu kar ne zaman yağacak yağda oynayak lan,kızgın
181,ne olur dışarda tanımadığınız insanlarla senli benli konuşmayın kafayı yiyeceğim böyle ayılıklar görmek istemiyorum artık,kızgın
182,Kinci değilim ama Düşene vuranlara karşı düşürüp vurmak istiyorum,kızgın
183,Yanımda oturan kadın kendi kendine konuşuyor yemin ederim kafayı yiyeceğim,kızgın
184,Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayı yiyeceğim,kızgın
185,Kasım ayında sivrisinek mi olur ya kafayı yiyeceğim artık,kızgın
186,Uzun zamandır en sinirli anımı yaşıyorum o kadar sinirliyim ki kafayı yiyeceğim şu an,kızgın
187,Bu gece birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor,kızgın
188,Seni seven kalbim şu an senden nefret ediyor..,kızgın
189,Kimse sana güvenmiyor. Herkes senden nefret ediyor. Yeryüzündeki hastalıksın sen.,kızgın
190,Bence herkes maskelerini çıkartsın herkes birbirinden nefret ediyor SOYUNUN,kızgın
191,"Karakter varya herkeste, Sanırım ben de var, Dolaylı anlatımlardan nefret ediyor ve kale almıyorum.",kızgın
192,Herkes birbirlerinden nefret ediyor ama herkes birbirleriyle samimi.,kızgın
193,Yok ben bu şehirden nefret ediyorum insanlar saygısız,kızgın
194,Seni gördüğümde sana inanmışlığım aklıma geldikçe kendimden nefret ediyorum.,kızgın
195,Sebepsiz yere arıyorum çalarken açarsa ne diyiyeceğim diye düşünüyorum açmayınca da sinirleniyorum,kızgın
196,Ben mi herşeye çok kolay sinirleniyorum yoksa gerçekten insanlar çok mu sinir bozucu,kızgın
197,Saçma sapan konuklarla sıkıcı program yapıyorsunuz ,kızgın
198,Abi saçma sapan cezalar veriliyor,kızgın
199,Netimi saçma sapan şeylere harcıyorum,kızgın
200,Evet sizi bırakıp Mobile legends oynayıp küfür edeceğim ama geri gelicem,kızgın
201,ya kızım bu ne özgüven şimdi küfür edeceğim sabrımı zorlama,kızgın
202,Birşeyi arıyor ve bulamıyorsam direk sinirleniyorum sizede oluyo mu bir bende mi var bu,kızgın
203,Sistemli bir şekilde attığımız goller ofsayt diye verilmiyor Her hafta %100 penaltımız verilmiyor Yeter artık defol git ,kızgın
204,Aslı şu an sana çok sinirliyim niye üzüyorsun adamı hem kendin yapışıp hem nasıl öyle konuşuyorsun,kızgın
205,"çok sinirliyim şu an kırmızı lahananın rengi neden mor ya asla kabul etmiyorum böyle bir şeyi, onun rengi mor MOR",kızgın
206,Elit bir semtte oturmasam sokağa çıkıp bağıra bağıra küfür edeceğim sinirim bedenime sığmıyor..,kızgın
207,Bu saatte uyandırıldım ve sinirliyim.,kızgın
208,çok sinirliyim ama size değil belki de bir köpeğe bile olabilir,kızgın
209,biriyle tartıştığımı hayal ettim ve bu hayale kendimi biraz fazla kaptırdığım için sinirliyim şu an,kızgın
210,Vize haftasına girdim şu an dağa taşa havadaki oksijene her şeye sinirliyim,kızgın
211,En yakın arkadaşlarımı başkalarıyla paylaşmaya hiçbir şekilde dayanamam.Akşam akşam aşırı sinirliyim yine ,kızgın
212,Lan günün 16 saati sinirliyim kalan 8 saatte de uyuyorum zaten,kızgın
213,Bana beni geri ver defolup git nereye gidiyorsan git,kızgın
214,"İstediğin insanla mutlu ol, o yüzün hep gülsün ama lütfen artık defolup git şu aklımdan",kızgın
215,Her şeyin rahatsız ediyor beni nolur defolup git artık nereye gidiyorsan,kızgın
216,Madem durmak istemiyorsun hiç durmadan defolup git bu ülkeden mesela,kızgın
217,Hastalık bir defol git başımdan,kızgın
218,Biri bana defol git ders çalış yoksa kalacaksın diyebilir mi,kızgın
219,"Emeğe saygı göstermek bu kadar zor olmamalı! Paylaşmayın, izle filmini defol git!!",kızgın
220,Zihniyetini ayakta alkışlıyorum ego ne alaka kardeş sinir oluyorum boş insanları takip ediyorum diye.,kızgın
221,Çalışma saatlerimi bilmediğiniz veya karıştırdığınız zaman acayip sinir oluyorum.,kızgın
222,"Birşey anlatırken ""ben demiştim ama"" diyip duranlara sinir oluyorum. Ama aynı şey karşı tarafa olsa hiç çekinmem söylerim.",kızgın
223,Ya ben her şeye sinirleniyorum ya da her şey beni sinirlendirmek için var.,kızgın
224,"Şu 'Kore dizisi ne ya' diyen insanlara sinir oluyorum Türk dizisi, hint dizisi nasıl oluyorsa Kore dizisi de öyle oluyor neden anlamak istemiyorsun",kızgın
225,Benden not isteyenlere sinir oluyorum yüzlerine söylemesemde,kızgın
226,Sinir oluyorum kendime. Yine kötü olan herşeyi unuttum. ,kızgın
227,Yanaklarımı sıkan insanlara sinir oluyorum,kızgın
228,"Korece müziğe karşı herkes o kadar önyargılı ki, sinir oluyorum. Müzikte önemli olan dil değil; onun sana ne hissettirdiğidir, şunu bir anlatamadık... ",kızgın
229,çıldıracağım kafayı yiyeceğim,kızgın
230,1.5 seneye mezun olucam olana kadar her gün bu cübbenin içinde hangi renkler uyumlu gözükür diye düşünmekten kafayı yiyeceğim,kızgın
231,Hakaret ediyormuşum sinirinden geçilmiyor. Sen bana ne yaptın farkında mısın!,kızgın
232,2 gündür evdeyim kafayı yiyeceğim insanlar çalışmadan tüm gün napıyor acaba,kızgın
233,Anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim,kızgın
234,sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum,kızgın
235,Arabanın anahtarı annemde gitmiş Allah’ım kafayı yiyeceğim,kızgın
236,öğrenci kimliğimi kaybetmişim kafayı yiyeceğim bir ay uğraş şimdi,kızgın
237,Boncuk sabah 5'den beri çok kötü kafayı yiyeceğim,kızgın
238,Telefonuma birini isim soyisimle kaydetmem için sevmiyor veya nefret ediyor olmam lazım,kızgın
239,"Ellerim soyuluyor dedi, deri değiştiriyorsun normaldir sizde dedim sanırım benden nefret ediyor",kızgın
240,vallahi delireceğim nereye düştük böyle amk ya,kızgın
241,Sakin kalmaya çalıştıkça günden güne artan öfkemden nefret ediyorum.,kızgın
242,Ben demiştim demekten nefret ediyorum ama dedirtiyorsun... ,kızgın
243,kız kimle yakın arkadaş olsa ona duygu besliyor Allah'ım delireceğim yareppim,kızgın
244,Abi koca gursuda kiralık daire yok kafayı yiyeceğim ya,kızgın
245,Hiçbir boku bitmiyor ya çıldıracağım,kızgın
246,"Düşündükçe sinirleniyorum, sinirlendikçe düşünüyorum. Kısır döngü girdabındayım... ",kızgın
247,"Uyurken burnum kanamış heryer kan olmuş, daha uyanırken sinir küpü uyandım ",kızgın
248,Tam kavga edeceğim sinirden çarpıntım tutuyor,kızgın
249,ben bu sinirle fazla yaşamam diyorum yaşadıkça daha çok sinirleniyorum,kızgın
250,Alışveriş yapıcam zaman yokki yapim ne sinir bozucu ya,kızgın
251,Sinirlenince gözlerimin dolmasından nefret ediyorum,kızgın
252,Aç ve sinirliyim kurban olayım beni 1 hafta kadar yok sayın,kızgın
253,Gecenin saat 3ü sen yüksek seale gazap mı dinliyorsun küfür edeceğim,kızgın
254,Of ağzımdaki uyuşukluk geçmedi hala delireceğim,kızgın
255,Telefonumun ekranı öyle bir çizildi ki kırılmış gibi duruyor bu nedenle sinirliyim,kızgın
256,Passolig ben cezayı Bozüyük vitraspordan aldım ya Beşiktaş bayern maçına girememek ne delireceğim,kızgın
257,Millet ne der' diye düşünenlerden nefret ediyorum ,kızgın
258,Her siren sesinde içimi sızlatan amblans seslerinden nefret ediyorum.,kızgın
259,Ekilmekten nefret ediyorum!!!,kızgın
260,Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya,kızgın
261,"Yaş henüz 20, kız evde kaldım diyor .. yok ben çıldıracağım artık, ne bu acele ?",kızgın
262,Yeter artık karşıma saçma sapan insanlar çıkmadan bitsin. Kabak tadı verdi hep aynı.,kızgın
263,salak mısın ya gerizekalı yemin ediyorum mal matematikten farkın yok,kızgın
264,Ela yokken hiçbir şey yapasım gelmiyor ya çıldıracağım,kızgın
265,Şu instastory izleyenler neye göre sıralanıyor ya yemin ederim çıldıracağım,kızgın
266,İstediğim ekleri bulamıyorum ya delireceğim,kızgın
267,Sınavdan sınava giriyorum kafayı yiyeceğim,kızgın
268,birinin kilosu ya da boyuyla dalga geçildiğini görünce bana küfür edilmiş kadar sinirleniyorum ,kızgın
269,Allah aşkına android için çevrimdışı müzik programı söyleyin kafayı yiyeceğim,kızgın
270,Gerizekali ben ne diyorum sen ne halt yapıyorsun delireceğim,kızgın
271,Şu PayPal’ı da ülkemizden kaldırdılar ya!!!!! O kadar öfkeliyim ki bu konuda!!! Geri getirin şunu yeter,kızgın
272,Karşımdakine ne kadar değer verirsem o kadar sinirleniyorum yaptığı yanlışlara,kızgın
273,Az önce sodayı açmaya çalışırken her yere döktüm sakar ve öfkeliyim şu an,kızgın
274,Pazar günlerinden nefret ediyorum,kızgın
275,Sol şeritte 90 lik yolda 50 sürüyor gerizekalı. Allah'ım sakin olamıyorum böylelerini görünce,kızgın
276,artık o kadar herşeye sinirleniyorum ki kendi saçımı başımı yolmamak için kendimi zor tutuyorum,kızgın
277,Alışveriş yapmam lazım çünkü sinirleniyorum.,kızgın
278,Beni sinirliyken eğlendirmeye çalışanlara daha çok sinirleniyorum.,kızgın
279,Çıkıp bağıra bağıra küfür edeceğim şimdi tutamıyorum artık kendimi,kızgın
280,Sinirleniyorum çünkü şu lanet üniversitede hiçbir karar mantıklı değil.,kızgın
281,Herşeye o kadar hızlı sinirleniyorum ki tahammül süremi çoktan aştık birtanem,kızgın
282,Benle alakası olamayan her şeye sinirleniyorum benle alakası olanlara zaten sinirleniyordum. Galiba menapoz,kızgın
283,Ya param yokken yapmayın şu indirimleri sinirleniyorum ,kızgın
284,Her şey bomboş ve çok saçma bugün çok öfkeliyim..,kızgın
285,Nasıl domuz eti yersin sen ya sinirden küplere bindim uyuyamıyorum !,kızgın
286,Kuş beyinli dicem kuşlara hakaret olur ama kuşların beyni var bunda o da yok amk ,kızgın
287,sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum,kızgın
288,"Of her şeye, herkese anlamsızca öfkeliyim",kızgın
289,"Şu an çok sinirleniyorum her gebze haremi gördükçe, daha ne kadar akraba olma arabası geçecek?",kızgın
290,ben bir anda sinirleniyorum kendi kendime bunun sebebi ne,kızgın
291,"Hayat hiç beklediğim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor hanım.",kızgın
292,Uykumu almadığım zaman kendimi çok agresif hissediyorum.,kızgın
293,Bugün kendimi Türkmenistan ile Hazar Denizi'ndeki kıta sahanlığından dolayı problem yaşayan Rusya gibi agresif hissediyorum.,kızgın
294,çok agresif hissediyorum şu an yani bilmiyorum belki de çişim olduğundandır,kızgın
295,Esra Erolu çileden çıkartan şalvarli gelin adayı kadar agresif hissediyorum,kızgın
296,Ay bugün kendimi işe yaramaz uyuz agresif hissediyorum,kızgın
297,Ayran içtim. Daha az agresif hissediyorum.,kızgın
298,Fragmanın gelmediği her an daha da agresif hissediyorum bir şeyler oldu bana,kızgın
299,bir yandan uzunu izlediğim için agresif hissediyorum kendimi. birazdan umarsızca koşmaya çıkacağım sinirimi atmak için.,kızgın
300,Bu siteye uğradığım zamanlar çok gergin ve agresif hissediyorum,kızgın
